Serial_No,Constituency_ No.,Constituency_Name,Total_Electors,Candidate_Name,Gender,Age,Category,Party,Symbol,General_Votes,Postal_Votes,Total_Votes,Percent_Valid_Votes,Percent_Total_Electors
12,209, PARAMAKUDI (SC) ,235109,Muththiah. M,MALE,67,SC,IND,Pen drive,223,2,225,0.12,0.1
1,210, TIRUVADANAI ,284130,Rajeev,MALE,34,GENERAL,TVK,Whistle,69001,550,69551,31.57,24.48
2,210, TIRUVADANAI ,284130,Rm. Karumanickam,MALE,39,GENERAL,INC,Hand,66394,644,67038,30.43,23.59
3,210, TIRUVADANAI ,284130,M.keerthika,FEMALE,49,GENERAL,ADMK,Two leaves,63205,674,63879,29,22.48
4,210, TIRUVADANAI ,284130,N Premnath,MALE,32,GENERAL,NTK,Carrying,13224,165,13389,6.08,4.71
5,210, TIRUVADANAI ,284130,S Suresh Kasini Venthan,MALE,49,GENERAL,AIFB,Lion,1463,19,1482,0.67,0.52
6,210, TIRUVADANAI ,284130,Alagarsamy Pandian,MALE,47,GENERAL,IND,Ship,657,18,675,0.31,0.24
7,210, TIRUVADANAI ,284130,S.balusamy,MALE,66,SC,PT,Gas cylinder,607,12,619,0.28,0.22
8,210, TIRUVADANAI ,284130,A Dinesh Kumar,MALE,32,GENERAL,IND,Mike,486,5,491,0.22,0.17
9,210, TIRUVADANAI ,284130,A Segu Ali Uduman,MALE,59,GENERAL,IND,Refrigerator,480,1,481,0.22,0.17
10,210, TIRUVADANAI ,284130,R Thilageswaran,MALE,32,GENERAL,IND,Flute,455,2,457,0.21,0.16
12,210, TIRUVADANAI ,284130,B Sikkandar,MALE,39,GENERAL,IND,Bucket,328,2,330,0.15,0.12
13,210, TIRUVADANAI ,284130,A Muthusamy,MALE,61,SC,BSP,Elephant,256,2,258,0.12,0.09
14,210, TIRUVADANAI ,284130,K Kaleeswaran,MALE,40,GENERAL,tavk,Camera,214,1,215,0.1,0.08
15,210, TIRUVADANAI ,284130,Ms Abdul Bakki,MALE,42,GENERAL,IND,Matchbox,208,1,209,0.09,0.07
16,210, TIRUVADANAI ,284130,R Ilaiyaraja,MALE,35,GENERAL,IDMK,Television,180,0,180,0.08,0.06
17,210, TIRUVADANAI ,284130,Sakthik Kumar,MALE,45,GENERAL,IND,Black board,149,1,150,0.07,0.05
18,210, TIRUVADANAI ,284130,N Anbu Bagurudeen,MALE,70,GENERAL,IND,Balloon,123,2,125,0.06,0.04
19,210, TIRUVADANAI ,284130,Devasitham,MALE,39,GENERAL,IND,Bat,110,2,112,0.05,0.04
20,210, TIRUVADANAI ,284130,Alla Pichai,MALE,81,GENERAL,IND,Almirah,111,1,112,0.05,0.04
22,210, TIRUVADANAI ,284130,A Mani,MALE,81,GENERAL,IND,Ring,59,3,62,0.03,0.02
2,211, RAMANATHAPURAM ,312463,Shahul Hameed,MALE,57,GENERAL,TVK,Whistle,76228,450,76678,32.28,24.54
3,211, RAMANATHAPURAM ,312463,Gbs K.nagendran,MALE,57,GENERAL,BJP,Lotus,57156,574,57730,24.3,18.48
4,211, RAMANATHAPURAM ,312463,S.m. Muthu Kesavan,MALE,32,GENERAL,NTK,Carrying,10637,129,10766,4.53,3.45
6,211, RAMANATHAPURAM ,312463,Dr.j. Abubakkar Sithick,MALE,51,GENERAL,APTADMK,Jackfruit,359,0,359,0.15,0.11
7,211, RAMANATHAPURAM ,312463,K. Maleswaran,MALE,40,GENERAL,IND,Flute,355,1,356,0.15,0.11
8,211, RAMANATHAPURAM ,312463,A. Chinna Raja,MALE,38,GENERAL,IND,Gas cylinder,343,7,350,0.15,0.11
9,211, RAMANATHAPURAM ,312463,Kan Ilango,MALE,55,GENERAL,IND,Ship,340,7,347,0.15,0.11
11,211, RAMANATHAPURAM ,312463,Pullani,MALE,43,SC,IND,Balloon,223,0,223,0.09,0.07
12,211, RAMANATHAPURAM ,312463,Karthigai Pandi,MALE,41,GENERAL,IND,Cauliflower,158,2,160,0.07,0.05
14,211, RAMANATHAPURAM ,312463,Balakrishnan,MALE,65,GENERAL,IND,Water melon,141,1,142,0.06,0.05
1,212, MUDHUKULATHUR ,299702,R.s.rajakannappan,MALE,77,GENERAL,DMK,Rising sun,67117,886,68003,29.39,22.69
2,212, MUDHUKULATHUR ,299702,Malarvizhi. B,FEMALE,48,GENERAL,TVK,Whistle,50787,618,51405,22.22,17.15
3,212, MUDHUKULATHUR ,299702,S.pandi,MALE,79,GENERAL,ADMK,Two leaves,47085,416,47501,20.53,15.85
5,212, MUDHUKULATHUR ,299702,Chandra Prabha Jeyapal,FEMALE,56,GENERAL,NTK,Carrying,14774,338,15112,6.53,5.04
6,212, MUDHUKULATHUR ,299702,Sathiyam C.saravanan,MALE,40,GENERAL,IND,Jackfruit,2035,7,2042,0.88,0.68
8,212, MUDHUKULATHUR ,299702,K.senthil Mallar,MALE,48,SC,tavk,Camera,1086,63,1149,0.5,0.38
9,212, MUDHUKULATHUR ,299702,C.malaiselvam,MALE,47,SC,PT,Gas cylinder,967,26,993,0.43,0.33
11,212, MUDHUKULATHUR ,299702,Ravi Govinthan,MALE,55,GENERAL,IND,Cauliflower,445,0,445,0.19,0.15
14,212, MUDHUKULATHUR ,299702,G. Selvaraj,MALE,40,GENERAL,PMTDK,Baby walker,337,2,339,0.15,0.11
16,212, MUDHUKULATHUR ,299702,K.murugan,MALE,44,GENERAL,IND,Road roller,207,1,208,0.09,0.07
18,212, MUDHUKULATHUR ,299702,C.kengusamy,MALE,25,GENERAL,IND,Bricks,165,1,166,0.07,0.06
20,212, MUDHUKULATHUR ,299702,A. Saravanakumar,MALE,45,GENERAL,NIDP,Spanner,147,1,148,0.06,0.05
21,212, MUDHUKULATHUR ,299702,K.rajakumar,MALE,43,GENERAL,IND,Ship,140,0,140,0.06,0.05
1,213, VILATHIKULAM ,205465,Markandayan G V,MALE,49,GENERAL,DMK,Rising sun,57458,937,58395,33.4,28.42
2,213, VILATHIKULAM ,205465,P. Kasiram,MALE,44,GENERAL,TVK,Whistle,49578,589,50167,28.7,24.42
3,213, VILATHIKULAM ,205465,R. Sathya,FEMALE,48,GENERAL,ADMK,Two leaves,48461,418,48879,27.96,23.79
4,213, VILATHIKULAM ,205465,Balaji Ramachandran,MALE,36,GENERAL,NTK,Carrying,11574,206,11780,6.74,5.73
5,213, VILATHIKULAM ,205465,P.madasamy,MALE,50,GENERAL,PT,Gas cylinder,1995,62,2057,1.18,1
8,213, VILATHIKULAM ,205465,P. Rajasekaran,MALE,59,GENERAL,IND,Matchbox,440,1,441,0.25,0.21
9,213, VILATHIKULAM ,205465,G. Muniyasamy,MALE,53,GENERAL,IND,Calculator,175,0,175,0.1,0.09
10,213, VILATHIKULAM ,205465,M. Ponnusamy,MALE,59,SC,IND,Television,166,6,172,0.1,0.08
11,213, VILATHIKULAM ,205465,K. Ajay Kumar,MALE,26,GENERAL,IND,Diamond,163,3,166,0.09,0.08
12,213, VILATHIKULAM ,205465,R. Perumal,MALE,53,GENERAL,NIDP,Spanner,164,2,166,0.09,0.08
